368,3,2016-05-02,1,2,16,5,-10,56,NULL,NULL,11,NULL
378,3,2016-05-02,1,3,15,7,-10,73,NULL,NULL,25,NULL
388,3,2016-05-02,1,4,18,7,-12,54,NULL,NULL,24,NULL
1391,4,2016-05-02,1,1,23.5,11.5,NULL,50,NULL,NULL,NULL,NULL
1476,4,2016-05-02,1,2,15.5,6.5,NULL,56,NULL,NULL,NULL,NULL
1526,4,2016-05-02,1,3,15,7,NULL,73,NULL,NULL,NULL,NULL
1576,4,2016-05-02,1,4,17.5,7.5,NULL,54,NULL,NULL,NULL,NULL
364,2,2016-05-02,2,1,21,10,-6,NULL,NULL,NULL,NULL,NULL
374,2,2016-05-02,2,2,16,5,-2,NULL,NULL,NULL,NULL,NULL
384,2,2016-05-02,2,3,16,8,-1,NULL,NULL,NULL,NULL,NULL
394,2,2016-05-02,2,4,15,7,0,NULL,NULL,NULL,NULL,NULL
359,3,2016-05-02,2,1,22,12,-8.3,50,NULL,NULL,0,NULL
369,3,2016-05-02,2,2,18,7,-4,55,NULL,NULL,-3,NULL
379,3,2016-05-02,2,3,18,7,-9,68,NULL,NULL,9,NULL
389,3,2016-05-02,2,4,16,4,-4,61,NULL,NULL,-20,NULL
1392,4,2016-05-02,2,1,21.5,11,NULL,50,NULL,NULL,NULL,NULL
1477,4,2016-05-02,2,2,17,6,NULL,55,NULL,NULL,NULL,NULL
1527,4,2016-05-02,2,3,17,7.5,NULL,68,NULL,NULL,NULL,NULL
1577,4,2016-05-02,2,4,15.5,5.5,NULL,61,NULL,NULL,NULL,NULL
365,2,2016-05-02,3,1,23,10,-2,NULL,NULL,-7,NULL,NULL
375,2,2016-05-02,3,2,20,6,-4,NULL,NULL,-12,NULL,NULL
385,2,2016-05-02,3,3,16,7,-4,NULL,NULL,-9,NULL,NULL
395,2,2016-05-02,3,4,17,5,-5,NULL,NULL,-13,NULL,NULL
360,3,2016-05-02,3,1,23,12,-7,53,NULL,-1,-10.666666666666666,NULL
370,3,2016-05-02,3,2,21,9,-1,52,NULL,-6,0.6666666666666666,NULL
380,3,2016-05-02,3,3,17,7,-8,66,NULL,-6,12.333333333333334,NULL
390,3,2016-05-02,3,4,18,6,-6,50,NULL,-9,-1,NULL
1393,4,2016-05-02,3,1,23,11,NULL,53,NULL,NULL,NULL,NULL
1478,4,2016-05-02,3,2,20.5,7.5,NULL,52,NULL,NULL,NULL,NULL
1528,4,2016-05-02,3,3,16.5,7,NULL,66,NULL,NULL,NULL,NULL
1578,4,2016-05-02,3,4,17.5,5.5,NULL,50,NULL,NULL,NULL,NULL
366,2,2016-05-02,4,1,22,8,-12.333333333333334,NULL,NULL,-10.5,NULL,NULL
376,2,2016-05-02,4,2,21,9,-12,NULL,NULL,-13,NULL,NULL
386,2,2016-05-02,4,3,16,6,-12.444444444444445,NULL,NULL,-10,NULL,NULL
396,2,2016-05-02,4,4,19,7,-13.88888888888889,NULL,NULL,-13.5,NULL,NULL
361,3,2016-05-02,4,1,23,13,-9.555555555555557,53,NULL,-7.300000000000001,12.363636363636363,NULL
371,3,2016-05-02,4,2,24,12,-10,60,NULL,-8.5,22.545454545454547,NULL
381,3,2016-05-02,4,3,18,8,-11.666666666666666,57,NULL,-7,19.545454545454547,NULL
391,3,2016-05-02,4,4,22,10,-12.333333333333334,55,NULL,-10,25.90909090909091,NULL
1394,4,2016-05-02,4,1,22.5,10.5,NULL,53,NULL,NULL,NULL,NULL
1479,4,2016-05-02,4,2,22.5,10.5,NULL,60,NULL,NULL,NULL,NULL
1529,4,2016-05-02,4,3,17,7,NULL,57,NULL,NULL,NULL,NULL
1579,4,2016-05-02,4,4,20.5,8.5,NULL,55,NULL,NULL,NULL,NULL
367,2,2016-05-02,5,1,22,11,-10.545454545454545,NULL,NULL,-8,NULL,NULL
377,2,2016-05-02,5,2,20,11,-9.363636363636363,NULL,NULL,-9.857142857142858,NULL,NULL
